urls,tags
https://www.sheridancollege.ca/life-at-sheridan/student-services/library-services/academic-integrity.aspx,
https://www.sfu.ca/,
https://www.tru.ca/current/student-life/osa/aic.html,
http://www.ucalgary.ca,
http://www.ufv.ca/asc,
about:blank,
https://uwaterloo.ca/academic-integrity/,
https://tec.mx/es,
https://www.facebook.com/integridadacademica/,
http://www.tecmilenio.mx/,
https://www.adelphi.edu/,
https://www.ashford.edu/,
http://catalog.aspen.edu/policies/academic-integrity-policy/,
http://www.bartonccc.edu,
https://www.boisestate.edu/academic-integrity/,
https://www.csusm.edu/dos/conduct/index.html,
https://case.edu/,
https://www.sanignacio.pr/,
https://www.cod.edu/student_life/dean_of_students/academic-honesty.aspx,
https://tilt.colostate.edu/,
http://college.emory.edu/oue/current-students/honor-council.html,
https://www.excelsior.edu/,
https://studentaffairs.fiu.edu/get-support/student-conduct-and-conflict-resolution/,
http://www.lcsc.edu/testing-center/,
https://www.mtech.edu/,
http://www.riosalado.edu/about/teaching-learning/academic-ethics-Integrity/Pages/default.aspx,
https://sasn.rutgers.edu/student-support/current-students/academic-performance-standards/academic-integrity-ai,
http://www.snhu.edu,
https://sw.edu/,
https://www.stevenson.edu/,
http://academicintegrity.ucsd.edu/,
https://rady.ucsd.edu/centers/social-innovation/,
https://honesty.uark.edu/,
https://academicintegrity.buffalo.edu/,
https://aisc.uci.edu,
http://studentconduct.ucmerced.edu/,
https://honesty.uga.edu,
https://lsastudenthc.weebly.com/,
https://www.usciences.edu/academics/academic-resources/index.html,
http://www.uwindsor.ca/academic-integrity/,
https://www.walshcollege.edu,
https://westcoastuniversity.edu/student-affairs/education-integrity.html,
https://www.wgu.edu/,
https://provost.wvu.edu/governance/academic-standards-resources,
http://www.abed.org.br/site/en/,
http://www.uss.edu.pe,
http://www.qaa.ac.uk/newsroom/education-deterrence-detection-how-to-tackle-the-problem-of-essay-mills#.V8DGL5OAOko,released a report August 2016
http://www.qaa.ac.uk/newsroom/education-deterrence-detection-how-to-tackle-the-problem-of-essay-mills#.V8mcSpOAOko,
https://www.teqsa.gov.au/latest-news/publications/good-practice-note-addressing-contract-cheating-safeguard-academic,
http://ucsdguardian.org/2016/05/17/contract-cheating/%E2%80%8B,
http://www.ibtimes.co.uk/large-numbers-indians-are-helping-british-students-cheat-low-prices-say-experts-1536373,
https://www.theguardian.com/education/2008/may/06/highereducation.students,
http://www.bbc.com/news/education-20298237,
http://www.dailymail.co.uk/news/article-3595982/Thirteen-engineering-students-expelled-Deakin-University.html,
http://www.bbc.co.uk/news/magazine-36276324,
https://www.smh.com.au/national/cheating-hot-spots-the-crackdown-on-contract-cheating-in-universities-20171003-gytifj.html,
http://www.thesundaytimes.co.uk/sto/news/article1422913.ece,
http://www.irishlegal.com/7279/essay-mills-to-be-subject-to-prosecution-under-new-law/,
http://www.timeshighereducation.co.uk/features/essay-mills-university-course-work-to-order/2007934.article,
https://www.theguardian.com/education/2017/mar/04/essays-for-sale-the-booming-online-industry-in-writing-academic-work-to-order," , "
https://www.telegraph.co.uk/education/2017/10/07/university-lecturers-topping-earnings-helping-students-cheat/,
http://www.cbc.ca/news/canada/calgary/contract-cheating-international-day-of-action-contract-cheating-1.4360193,
https://www.chronicle.com/article/Cheating-Goes-Global-as-Essay/32817,
https://campustechnology.com/articles/2018/09/26/what-to-do-about-contract-cheating.aspx,What To Do About Contract Cheating
https://www.bbc.com/news/education-45640236#,University Bosses Call for Bans on Essay Writing Companies
https://www.mirror.co.uk/news/uk-news/students-lured-life-cheating-ghostwriters-13313704,Students Lured into Life of Cheating as Ghostwriters
https://www.globalbankingandfinance.com/how-to-stop-the-educational-certificate-fraudsters/,How to Stop the Educational Certificate Fraudsters
https://www.yorkshirepost.co.uk/news/education/call-for-essay-mills-ban-to-ease-university-cheating-pressures-1-9370153,Call for Essay Mills Ban to Ease University Cheating Pressures
http://go.turnitin.com/webcast/pew15/cultral-implications-cheating,
https://link.springer.com/article/10.1007/s40979-017-0021-6,
https://www.bcu.ac.uk/cmsproxyimage?path=/_media/docs/contractcheatingsig_220612_lancasterclarkekeynote.pdf,
http://www.hes.edu.au/assets/HECQN-2015/17.00-Contract-Cheating-and-Standards-HEQCN-Melbourne-2015-v4.pdf,
https://go.turnitin.com/webcast/paying-for-plagiarism,
https://eric.ed.gov/?id=EJ1114834,
https://doi.org/10.1080/03075079.2018.1462788,
https://ieeexplore.ieee.org/document/4365466/,
https://dl.acm.org/citation.cfm?id=2462497,
https://doi.org/10.1007/s10805-017-9278-x,
https://srhe.tandfonline.com/doi/abs/10.1080/02602938.2017.1336746,
https://repository.jmls.edu/facpubs/648/,
https://doi.org/10.1007/s40979-017-0014-5,
https://doi.org/10.1007/s40979-017-0022-5,
https://doi.org/10.1007/s40979-017-0024-3,
https://edintegrity.biomedcentral.com/articles/10.1007/s40979-018-0027-8,
https://doi.org/10.1080/03075079.2018.1462789,
https://www.springeropen.com/collections/cche,
https://www.tandfonline.com/doi/abs/10.1080/17449642.2017.1412178,
https://www.heacademy.ac.uk/resources/detail/disciplines/stem/conf_12_lancaster,
https://doi.org/10.1007/978-981-287-098-8_17,
http://eprints.staffs.ac.uk/3608/,
http://ibimapublishing.com/articles/CIBIMA/2009/993039/993039.pdf,
https://doi.org/10.1007/978-981-287-098-8_38,
https://openjournals.library.sydney.edu.au/index.php/CAL/article/view/5803,
http://www.mountainplains.org/articles/2014/General%20Research/Mountain_Plains_Journal_of_Business_and_Economics_Volume_15_2014_1-21_General_Research_Owings.pdf,
https://doi.org/10.1016/j.jebo.2014.12.019,
https://ro.uow.edu.au/gsbpapers/434/,
https://link.springer.com/article/10.1007/s40979-017-0021-6,
https://doi.org/10.1080/02602938.2017.1391948,
http://journals.sagepub.com/doi/abs/10.1177/1037969X17710627,
https://doi.org/10.22158/wjer.v4n4p551,
https://edintegrity.biomedcentral.com/articles/10.1007/s40979-017-0020-7,
https://link.springer.com/article/10.1007%2Fs10805-012-9150-y,
https://doi.org/10.1080/03055698.2014.889597,
http://jrp.icaap.org/index.php/jrp/article/view/536/448,
http://www.timeshighereducation.co.uk/comment/opinion/why-i-write-for-an-essay-mill/2006074.article,
https://live-academicintegrity.pantheonsite.io/blog/taking-a-stand-against-contract-cheating/,Taking a stand against contract cheating.
https://prism.ucalgary.ca/ds2/stream/?#/documents/0c3594e7-6735-4dc2-b40f-5ac25cf1f404/page/1,
mailto:info@academicintegrity.org,
https://live-academicintegrity.pantheonsite.io/product/contract-cheating-toolkit/,Download the Institutional Toolkit
http://www.comu.edu.tr/,www.comu.edu.tr
http://www.coventry.ac.uk/,www.coventry.ac.uk
http://www.humber.ca/,www.humber.ca
http://healthsciences.humber.ca/,http://healthsciences.humber.ca
https://www.facebook.com/pages/Humber-Health-Sciences/140108509505094%E2%80%8B,https://www.facebook.com/Humber-Health-Sciences
@humberhealthsci,@humberhealthsci
https://www.k-state.edu/honor/honorcouncil/,www.k-state.edu/honor/honorcouncil
https://www.facebook.com/kstatehonorandintegrity/,https://www.facebook.com/kstatehonorandintegrity/ 
@UCSDintegrity,Twitter
http://www.nuigalway.ie/,www.nuigalway.ie
http://www.shu.ac.uk/,www.shu.ac.uk
https://www.epigeum.com/academic-integrity/,https://www.epigeum.com/academic-integrity/
https://www.sheridancollege.ca/life-at-sheridan/student-services/library-services/academic-integrity.aspx%E2%80%8B,https://www.sheridancollege.ca/life-at-sheridan/student-services/library-services/academic-integrity.aspx
https://uqo.ca/integrite,https://uqo.ca/integrite
http://academicintegrity.ucsd.edu/,http://academicintegrity.ucsd.edu
https://www.facebook.com/ucsdintegrity,https://www.facebook.com/ucsdintegrity
http://integrity.ou.edu/,http://integrity.ou.edu/
https://www.facebook.com/integritycouncil/,https://www.facebook.com/integritycouncil
https://url4.mailanyone.net/v1/?m=1dzwam-0002na-4v&i=57e1b682&c=4XtY6gL-BNaftps9bzncf3P8h9kXJ5lhBMP_MrIgFxTGfjb4TDgpOiEi-v3VQdTVlgfDkEOvTqtc8IQGDfQT1CFSDRsyp7qRHhcyMehm8zbxmHRRrr2SXOtfwUzjnnNvdhMPrxI2hdhDyDubLiGLd2MCXZQcJ8MI12eZ5fB6Oo11CNlqKhMPy01RE6loU5qvsrU48O_Hw7psTU1ivo78HwUJ5ZOHHFi3bt6VFoRTrmc,www.unisa.edu.au
https://uwaterloo.ca/academic-integrity/,https://uwaterloo.ca/academic-integrity/
http://www.facebook.com/university.waterloo,​http://www.facebook.com/university.waterloo
http://integrity.fiu.edu/,​
mailto:academicintegrity@uci.edu,​
http://www.staffsunion.com/,www.staffsunion.com
http://enfermeria.rcm.upr.edu,http://enfermeria.rcm.upr.edu
http://www.aucegypt.edu,American University in Cairo
http://www.aucegypt.edu,(Egypt)
http://www.aun.edu.ng,American University of Nigeria (Nigeria)
http://www.hct.ac.ae/en/campuses/aam/,Higher Colleges of Technology – Al Ain Mens’ College (United Arab Emirates)
http://www.majancollege.edu.om,Majan University College (Oman)
http://Auaf.edu.af,The American University of Afghanistan (Afghanistan)
http://www.uowdubai.ac.ae,University of Wollongong in Dubai (United Arab Emirates)
http://www.acpe.edu.au,ACPE – The Australia College of Physical Education
http://www.ecu.edu.au,Edith Cowan University
http://ichm.edu.au,International College of Hotel Management
http://www.kbs.edu.au,Kaplan Business School
http://www.csustudycentres.edu.au,Study Group Australia – Charles Stuart University
https://www.embassyenglish.com/locations/anz,Study Group Australia – Embassy English ANZ
http://isc.flinders.edu.au/welcome-to-flinders-isc,Study Group Australia – Flinders University
http://www.taylorssydney.edu.au/about-taylors-college-sydney,Study Group Australia – Taylors College Sydney
http://www.taylorsperth.edu.au/your-pathway-to-uwa/why-taylors-college-perth,Study Group Australia – Taylors College Perth
https://www.taylorssydney.edu.au/,Taylors College Sydney
http://www.unsw.edu.au,University of New South Wales
https://www.uts.edu.au/about/uts-business-school,University of Technology Sydney Business School
https://www.uow.edu.au/academic-integrity/index.html,University of Wollongong
http://www.coventry.ac.uk,Coventry University
https://www.gsmlondon.ac.uk/,GSM London
http://www.shu.ac.uk,Sheffield Hallam University
http://www.qaa.ac.uk/docs/qaa/news/contracting-to-cheat-in-higher-education.pdf?sfvrsn=f66af681_6,UK Quality Assurance Agency for Higher Education
https://www.chestersu.com/advice/academic/academicintegrity/,University of Chester
https://www.derby.ac.uk/,University of Derby
https://www.northampton.ac.uk/ilt/news/academic-integrity-and-misconduct-for-students/,University of Northampton
http://www.southwales.ac.uk,University of South Wales
https://americanstudiestsu.weebly.com/,American Studies Students’ Scientific Group at Ivane Javakhishvili Tbilisi State University (Georgia)
http://www.comu.edu.tr,Canakkale Onsekiz Mart University (Turkey)
http://www.acg.edu,"Deree, The American College of Greece (Greece)"
http://www.academicintegrity.eu,European Network for Academic Integrity (Czechia)
http://www.mendelu.cz,Mendel University in Brno
http://www.mendelu.cz,Czechia
http://www.nuigalway.ie,"National University of Ireland, Galway (Ireland)"
https://www.uninsubria.it/,"University of Insurbria, Center for Research in Medical Pharmacology (Italy)"
http://bowvalleycollege.libguides.com/academic-honesty,Bow Valley College
https://library.centennialcollege.ca/,Centennial College Libraries
http://www.georgiancollege.ca,Georgian College
https://healthsciences.humber.ca/,Humber College — School of Health Sciences
https://www.humber.ca/,Humber College – Orangeville Campus
https://www.humber.ca/,Humber College – North Campus
https://www.humber.ca/,Humber College – Lakeshore Campus
https://langara.ca/student-services/student-conduct-and-judicial-affairs/academic-integrity/index.html,Langara College
http://www.mtroyal.ca/AcademicSupport/ResourcesServices/StudentLearningServices/index.htm,Mount Royal University
http://www.ryerson.ca/academicintegrity,Ryerson University
http://www.senecacollege.ca/home.html,Seneca College
https://www.sheridancollege.ca/life-at-sheridan/student-services/library-services/academic-integrity,Sheridan College
http://www.stclaircollege.ca/,St. Clair College
http://www.ucalgary.ca,University of Calgary
https://uwaterloo.ca/academic-integrity/,University of Waterloo
http://www.uwindsor.ca/aio/,University of Windsor
http://www.upaep.mx/centrodeescritura,Centro de escritura UPAEP
http://sitios.itesm.mx/dfds/ssc/Docentes/contenido/integridad.html,Tecnológico de Monterrey
http://www.cua.uam.mx/,Universidad Autónoma Metropolitana Undidad Cuajimalpa
http://www.centrodeintegridadacademica.org.mx/,Universidad de Monterrey
http://integridadacademica.org,Universidad Panamericana
http://www.tecmilenio.mx/,Universidad Tecmilenio
https://www.ashford.edu/student-rights-and-responsibilities.htm,Ashford University
https://deanofstudents.boisestate.edu/academic-integrity/,Boise State University
http://www.broward.edu,Broward College
https://www.callutheran.edu/offices/academic-affairs/faculty-handbook/policy-appendix/academic-honesty.html,California Lutheran University
https://students.case.edu/community/conduct/aiboard/,Case Western Reserve
http://www.cod.edu,College of DuPage
https://tilt.colostate.edu/integrity/,Colorado State University
https://www2.fgcu.edu/studentservices/studentconduct/index.html,Florida Gulf Coast University
http://www.k-state.edu/honor,Kansas State University
http://www.molloy.edu/excelwithintegrity,Molloy College
http://www.ohio.edu,Ohio University
http://www.riosalado.edu,Rio Salado College
https://www.rit.edu/twc/academicintegrity,Rochester Institute of Technology
http://academicintegrity.rutgers.edu/,Rutgers University – New Brunswick
http://www.scu.edu,Santa Clara University
http://www.stevenson.edu,Stevenson University
http://www.tesu.edu,Thomas Edison State University
http://academicintegrity.ucsd.edu,"University of California, San Diego"
http://ied.sdes.ucf.edu/,University of Central Florida
https://www.du.edu/studentlife/studentconduct/,University of Denver 
http://www.umuc.edu/current-students/learning-resources/academic-integrity/index.cfm,University of Maryland University College
https://westcoastuniversity.edu/student-affairs/education-integrity.html,West Coast University
http://www.areandina.edu.co,Fundación Universitaria del Área Andina (Columbia)
https://revistas.ucr.ac.cr/index.php/humanidades/about/editorialTeam,Revista humanidades (Costa Rica)
https://www.unimagdalena.edu.co/,Universidad del Magdalena (Columbia)
https://twitter.com/i/moments/1054101452606464003?ref_src=twsrc%5Etfw,3rd Day of Action Against Contract Cheating
https://www.facebook.com/AcademicIntegrity/,"
			,
		"
https://twitter.com/tweetcai?lang=en,"
			,
		"
http://rambletype.com,Rambletype Digital
